sku,advertise,group,subsku1,subsku2,subsku3,subsku4,subsku5,subsku6,subsku7,subsku8,subsku9,subsku10,upc,collection,title,color1,color2,color3,color4,colorlink,fabric1,fabric2,fabric3,price,map,category,subcategory1,subcategory2,subcategory3,subcategory4,weight,height,width,depth,sizelink,class,description,feature 1,feature 2,feature 3,feature 4,feature 5,assembly,material1,material2,material3,material4,wood,origin,shipmethod,boxcount,boxweight,boxheight,boxwidth,boxdepth,box2weight,box2height,box2width,box2depth,box3weight,box3height,box3width,box3depth,box4weight,box4height,box4width,box4depth,box5weight,box5height,box5width,box5depth,box6weight,box6height,box6width,box6depth,box7weight,box7height,box7width,box7depth,box8weight,box8height,box8width,box8depth,box9weight,box9height,box9width,box9depth,estimatedship,shipnote,mainimage1,"mainimage2,mainimage3",setimage1,setimage2,setimage3,roomimage1,roomimage2,roomimage3,additionalimage1,additionalimage2,additionalimage3,additionalimage4,additionalimage5,additionalimage6,additionalimage7,additionalimage8,additionalimage9,additionalimage10,diagramimage1,diagramimage2,diagramimage3,swatchimage1,swatchimage2,swatchimage3,swatchimage4,swatchimage5,swatchimage6,swatchimage7,swatchimage8,swatchimage9,swatchimage10
4815-883,TRUE,4815OTC,,,,,,,,,,,796995053908,Brookside,Brookside Fossil Coffee Table,Brown powdercoat,,,,,,,,$110.0,,Accents and Occasionals,Coffee Table,,,,64.0,,48.0,24.0,,,,,,,,,,Metal, Stone,,,,China,Small Parcel,1.0,69.0,3.0,27.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815OTS,TRUE,4815OTS,4815-884,4815-885,,,,,,,,,796995923812,Brookside,Brookside Fossil Sofa Table,Brown powdercoat,,,,,,,,$175.0,,Accents and Occasionals,Sofa Table,,,,77.0,30.0,50.0,20.0,,,Our Brookside collection features the lustrous depth and beauty of fossilstone and the classic effect of transitional designs.  A thick patterned ivory colored fossilstone veneer graces the sturdy powdercoated metal bases on the occasional tables & buffet.  ,Brown powdercoat finish,Thick patterned ivory-colored fossil sone veneer,Classic effect of transitional,Metallic,,,Metal, Stone,,,,China,Small Parcel,2.0,36.0,6.0,19.0,49.0,51.0,3.0,23.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,hh4815ots.jpg,,,,,,,,,,,,,,,,,,,hh4815ots.jpg,,,hh4815ots.jpg,,,,,,,,,
4815-884,TRUE,4815OTS,,,,,,,,,,,796995053885,Brookside,Brookside Fossil Sofa Table - Base,Brown powdercoat,,,,,,,,$75.0,,Accents and Occasionals,Sofa Table,,,,31.0,30.0,,,,,,,,,,,,Metal, Stone,,,,China,Small Parcel,1.0,36.0,6.0,19.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815-885,TRUE,4815OTS,,,,,,,,,,,796995053915,Brookside,Brookside Fossil Sofa Table - Top,Brown powdercoat,,,,,,,,$100.0,,Accents and Occasionals,Sofa Table,,,,46.0,,50.0,20.0,,,,,,,,,,Metal, Stone,,,,China,Small Parcel,1.0,51.0,3.0,23.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815-852,TRUE,4815-852,,,,,,,,,,,796995053809,Brookside,Brookside Fossil Server,Brown powdercoat,,,,,,,,$190.0,,Accents and Occasionals,Server,,,,81.0,48.0,39.0,6.0,,,Our Brookside collection features the lustrous depth and beauty of fossilstone and the classic effect of transitional designs.  A thick patterned ivory colored fossilstone veneer graces the sturdy powdercoated metal bases on the occasional tables & buffet.  ,Brown powdercoat finish,Thick patterned ivory-colored fossil sone veneer,Classic effect of transitional,Metallic,,,Metal, Stone,,,,China,LTL,1.0,86.0,6.0,39.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,hh4815-852.jpg,,,,,,,,,,,,,,,,,,,hh4815-852.jpg,,,hh4815-852.jpg,,,,,,,,,
4815-890,TRUE,4815-890,,,,,,,,,,,796995053816,Brookside,Brookside Fossil Mirror,Brown powdercoat,,,,,,,,$85.0,,Accents and Occasionals,Mirror,,,,37.0,46.0,32.0,3.375,,,Our Brookside collection features the lustrous depth and beauty of fossilstone and the classic effect of transitional designs.  A thick patterned ivory colored fossilstone veneer graces the sturdy powdercoated metal bases on the occasional tables & buffet.  ,Brown powdercoat finish,Thick patterned ivory-colored fossil sone veneer,Classic effect of transitional,Metallic,,,Metal, Stone,,,,China,Small Parcel,1.0,42.0,4.0,35.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,hh4815-890.jpg,,,,,,,,,,,,,,,,,,,hh4815-890.jpg,,,hh4815-890.jpg,,,,,,,,,
4702-880,TRUE,4702-880,,,,,,,,,,,796995989313,Granada,Granada Expandable Cocktail Table,Dark chestnut,brown powdercoat,,,,,,,$175.0,,Accents and Occasionals,Cocktail Table,,,,58.0,18.0,60.0,26.0,,,"Multifaceted with an artistic flourish, the Granada Expandable Cocktail Table is distinguished in its rectangular, bamboo-inspired table top. Constructed of solid hardwood with a dark chestnut finish, the Granada Cocktail Table can expand from 44 inches in width to 60 inches, when larger company requires greater space. Some assembly required. ",Expands from 44 inches long to 60 inches long,Dark chestnut/Brown powdercoat metal with flecks of copper,Bamboo-inspired,,,,Wood, Metal,,,,China,Small Parcel,1.0,63.0,9.5,25.5,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.75,,hh4702-880.jpg,,,,,,,,,,,,,,,,,,,hh4702-880 expanded.jpg,hh4702-880.jpg,,hh4702-880 expanded.jpg,hh4702-880.jpg,hh4702-880 expanded.jpg,hh4702-880 expanded.jpg,hh4702-880 expanded.jpg,hh4702-880.jpg,hh4702-880.jpg,,,
4702-881,TRUE,4702-881,,,,,,,,,,,79699598932,Granada,Granada End Table,Dark chestnut,brown powdercoat,,,,,,,$85.0,,Accents and Occasionals,End Table,,,,19.0,24.0,24.0,22.0,,,"Multifaceted with an artistic flourish, the Granada End Table is distinguished in its rectangular, bamboo-inspired table top. Constructed of solid hardwood with a dark chestnut finish, the Granada End Table is an ideal fit for a variety of living or bedroom design palettes. Some assembly required.",Dark chestnut/Brown powdercoat metal with flecks of copper,Bamboo-inspired,,,,,Wood, Metal,,,,China,Small Parcel,1.0,24.0,5.25,25.5,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,hh4702-881.jpg,,,,,,,,,,,,,,,,,,,hh4702-881.jpg,,,hh4702-881.jpg,,,,,,,,,
4904BH,TRUE,4904BH,4904-851,4904-852,,,,,,,,,796995991842,Grandover,Grandover Buffet Server and Hutch,Dark Cherry,,,,,,,,$1125.0,$2199.0,Accents and Occasionals,,,,,401.0,82.0,57.25,18.0,,,"With its cosmopolitan flair and simple elegance, the Grandover Hutch and Buffet appear to be straight out of an antique store. This unique storage piece features glass doors ideally placed to display fine china, and a solid wood cabinet perfect for other dining room trappings. Finished in a rich dark cherry color, the Grandover Hutch and Buffet is lovely when paired with the rest of the collection, but it is also designed to appeal all on its own.",Glass doors,Solid wood cabinet,Rich dark cherry finish,Perfect with the collection or on its own.,,,Wood, MDF,,,"Rubber wood, Mahogany",Indonesia,LTL,2.0,411.0,22.0,51.25,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,,hh4904bh.jpg,,,,,,,,,,,,,,,,,,,hh4904bh.jpg,,,hh4904bh.jpg,,,,,,,,,
4904-851,TRUE,4904BH,,,,,,,,,,,796995991491,Grandover,Grandover Buffet,Dark Cherry,,,,,,,,$500.0,,Accents and Occasionals,Buffet,,,,179.0,36.0,57.25,18.0,,,"With its cosmopolitan flair and simple elegance, the Grandover Hutch and Buffet appear to be straight out of an antique store. This unique storage piece features glass doors ideally placed to display fine china, and a solid wood cabinet perfect for other dining room trappings. Finished in a rich dark cherry color, the Grandover Hutch and Buffet is lovely when paired with the rest of the collection, but it is also designed to appeal all on its own.",Glass doors,Solid wood cabinet,Rich dark cherry finish,Perfect with the collection or on its own.,,,Wood, MDF,,,"Rubber wood, Mahogany",Indonesia,LTL,1.0,184.0,21.0,36.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4904-852,TRUE,4904BH,,,,,,,,,,,796995991507,Grandover,Grandover Hutch,Dark Cherry,,,,,,,,$625.0,,Accents and Occasionals,Hutch,,,,222.0,46.0,57.25,18.0,,,"With its cosmopolitan flair and simple elegance, the Grandover Hutch and Buffet appear to be straight out of an antique store. This unique storage piece features glass doors ideally placed to display fine china, and a solid wood cabinet perfect for other dining room trappings. Finished in a rich dark cherry color, the Grandover Hutch and Buffet is lovely when paired with the rest of the collection, but it is also designed to appeal all on its own.",Glass doors,Solid wood cabinet,Rich dark cherry finish,Perfect with the collection or on its own.,,,Wood, MDF,,,"Rubber wood, Mahogany",Indonesia,LTL,1.0,227.0,22.0,51.25,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4608-850,TRUE,4608-850,,,,,,,,,,,79699598763,Hamptons,Hamptons Server,Weathered pine,,,,,,,,$650.0,,Accents and Occasionals,Server,,,,156.0,58.5,61.0,18.0,,,"Rich in quality and design, Hillsdale Furniture's Hamptons Dining Collection boasts a dynamic weathered pine finish, a transitional ladder back chair, and a round dining table with a leaf that provides room for seating up to six people comfortably.  To complete your dining room, this collection features a matching server with 2 glass doors and 1 pane for display and storage space.  Solid pine construction.  Assembly required.  ",Weathered pine finish,2 glass doors,A display and storage pane,,,,Wood,,,,Solid pine,China,LTL,1.0,161.0,21.5,56.5,63.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,,hh4608-850.jpg,,,,,,,,,,,,,,,,,,,hh4608-850.jpg,,,hh4608-850.jpg,,,,,,,,,
4264OTC,TRUE,4264OTC,4264-882,4264-883,,,,,,,,,79699596585,Lakeview,Lakeview Cocktail Table,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$150.0,,Accents and Occasionals,Cocktail Table,,,,62.0,18.0,48.0,24.0,,,"Rustic textures and colors combine to create Hillsdale Furniture’s Lakeview occasional tables. This wonderful collection boasts  a striking fusion of  medium oak wood, coppery brown metal, and a dynamic slate motif.  Composed of heavy gauge tubular steel, solid wood edges, climate controlled wood composites and veneers, this unique group is a perfect addition to your home. ","Medium oak wood, coppery brown metal, and dynamic slate motif",Rustic textures and colors,,,,,Wood, Metal,,,Solid wood and climate controlled wood composites and veneers,China,Small Parcel,2.0,15.0,4.0,18.0,42.0,57.0,3.0,29.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,hh4264otc.jpg,,,,,,,,,,,,,,,,,,,hh4264otc.jpg,,,hh4264otc.jpg,,,,,,,,,
4264-882,TRUE,4264OTC,,,,,,,,,,,796995958661,Lakeview,Lakeview Cocktail Table - Base Frame with Legs,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$65.0,,Accents and Occasionals,Cocktail Table,,,,10.0,,,,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,15.0,4.0,18.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4264-883,TRUE,4264OTC,,,,,,,,,,,796995958678,Lakeview,Lakeview Cocktail Table - Wood/Slate Top with Top Ring,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$85.0,,Accents and Occasionals,Cocktail Table,,,,52.0,,,,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,57.0,3.0,29.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
