sku,advertise,group,subsku1,subsku2,subsku3,subsku4,subsku5,subsku6,subsku7,subsku8,subsku9,subsku10,upc,collection,title,color1,color2,color3,color4,colorlink,fabric1,fabric2,fabric3,price,map,category,subcategory1,subcategory2,subcategory3,subcategory4,weight,height,width,depth,sizelink,class,description,feature 1,feature 2,feature 3,feature 4,feature 5,assembly,material1,material2,material3,material4,wood,origin,shipmethod,boxcount,boxweight,boxheight,boxwidth,boxdepth,box2weight,box2height,box2width,box2depth,box3weight,box3height,box3width,box3depth,box4weight,box4height,box4width,box4depth,box5weight,box5height,box5width,box5depth,box6weight,box6height,box6width,box6depth,box7weight,box7height,box7width,box7depth,box8weight,box8height,box8width,box8depth,box9weight,box9height,box9width,box9depth,estimatedship,shipnote,mainimage1,"mainimage2,mainimage3",setimage1,setimage2,setimage3,roomimage1,roomimage2,roomimage3,additionalimage1,additionalimage2,additionalimage3,additionalimage4,additionalimage5,additionalimage6,additionalimage7,additionalimage8,additionalimage9,additionalimage10,diagramimage1,diagramimage2,diagramimage3,swatchimage1,swatchimage2,swatchimage3,swatchimage4,swatchimage5,swatchimage6,swatchimage7,swatchimage8,swatchimage9,swatchimage10
90008.0,TRUE,1125BTWHTR,,,,,,,,,,,79699590008,Westfield,Daybed Suspension Deck,Espresso,,,,,,,,$67.0,,Bed,Suspension Deck,Wood,,Twin,24.0,,39.0,76.0,,,,,,,,,,Metal,,,,,China,Small Parcel,1.0,29.0,4.0,21.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90013.0,TRUE,1125BTWHTR,,,,,,,,,,,796995931442,Westfield,Roll-Out Trundle,Espresso,,,,,,,,$72.5,,Bed,Trundle,Wood,,Twin,24.0,4.0,39.25,73.15,,,,,,,,,,Metal,,,,,China,Small Parcel,1.0,29.0,4.0,21.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125BFR,TRUE,1125BFR,1125-460,1125-110,90046.0,,,,,,,,796995012226,Westfield,Westfield Bed w/Rails - Full,Espresso,,,,,,,,$205.0,,Bed,Bed Set,Wood,Post,Full,79.0,52.0,54.0,76.0,,,"Inspired by classic cottage styling, the Westfield Youth Bed features a traditional curved headboard, bead board details, and lovely sculpted feet. Finished in a cozy Espresso this bed is a refreshing and cheerful addition to your child's bedroom.",Classic cottage styling,Traditional curved headboard,Bead board detailing,Espresso finish,"Headboard is 52"" tall, and footboard is 30""",,Wood,,,,,Vietnam/China,LTL,3.0,42.0,5.0,35.0,56.0,22.0,6.0,14.0,49.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-460,TRUE,1125BFR,,,,,,,,,,,796995999138,Westfield,Westfield Bed Set - Full - Rails not included,Espresso,,,,,,,,$115.0,,Bed,Bed Set,Wood,,Full,37.0,52.0,56.0,,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,42.0,5.0,35.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-110,TRUE,1125BFR,,,,,,,,,,,796995999121,Westfield,Westfield Bed Post Kit - 4 ,Espresso,,,,,,,,$50.0,,Bed,Posts,Wood,,Full,17.0,52.0,41.0,,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,22.0,6.0,14.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90046.0,TRUE,1125BFR,,,,,,,,,,,796995954885,Westfield,4 Leg Twin/Full Bed Frame,Espresso,,,,,,,,$40.0,,Bed,Frame,Wood,,Full,25.0,,54.0,76.0,,,,,,,,,,Wood,,,,,China,Small Parcel,1.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125BF,TRUE,1125BF,1125-460,1125-110,,,,,,,,,796995014718,Westfield,Westfield Bed - Full - Rails not included,Espresso,,,,,,,,$165.0,,Bed,Bed Set,Wood,Post,Full,54.0,52.0,54.0,76.0,,,"Inspired by classic cottage styling, the Westfield Youth Bed features a traditional curved headboard, bead board details, and lovely sculpted feet. Finished in a cozy Espresso this bed is a refreshing and cheerful addition to your child's bedroom.",Classic cottage styling,Traditional curved headboard,Bead board detailing,Espresso finish,"Headboard is 52"" tall, and footboard is 30""",,Wood,,,,,Vietnam/China,LTL,2.0,42.0,5.0,35.0,56.0,22.0,6.0,14.0,49.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-460,TRUE,1125BF,,,,,,,,,,,796995999138,Westfield,Westfield Bed Set - Full - Rails not included,Espresso,,,,,,,,$115.0,,Bed,Bed Set,Wood,,Full,37.0,52.0,56.0,,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,42.0,5.0,35.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-110,TRUE,1125BF,,,,,,,,,,,796995999121,Westfield,Westfield Bed Post Kit - 4 ,Espresso,,,,,,,,$50.0,,Bed,Posts,Wood,,Full,17.0,52.0,41.0,,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,22.0,6.0,14.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125HTWR,TRUE,1125HTWR,1125-340,1125-000,90047.0,,,,,,,,79699501224,Westfield,Westfield Post Headboard - Twin - w/Rails,Espresso,,,,,,,,$94.0,,Bed,Headboard,Wood,Post,Twin,46.0,52.0,54.0,63.5,,,"Inspired by classic cottage styling, Hillsdale Furniture's Westfield youth bed features a traditional curved headboard and lovely sculpted feet. Finished in a cozy Espresso, this bed is a refreshing and cheerful addition to your child's bedroom.",Traditional curved headboard,Sculpted feet,Espresso finish,"Headboard is 52"" tall, and footboard is 30""",,,Wood,,,,,Vietnam/China,Small Parcel,3.0,18.0,3.0,34.0,40.0,13.0,5.0,13.0,48.0,30.0,3.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh1125htwr westfield dark twin headboard.jpg,,,hh1125htwr westfield dark twin headboard.jpg,,,,,,,,,
1125-340,TRUE,1125HTWR,,,,,,,,,,,796995999145,Westfield,Westfield Headboard - Twin,Espresso,,,,,,,,$45.0,,Bed,Headboard,Wood,,Twin,13.0,52.0,41.0,,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,18.0,3.0,34.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-000,TRUE,1125HTWR,,,,,,,,,,,796995999169,Westfield,Westfield Bed Post Kit - 2 - Twin,Espresso,,,,,,,,$25.0,,Bed,Posts,Wood,,Twin,8.0,52.0,41.0,,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,13.0,5.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90047.0,TRUE,1125HTWR,,,,,,,,,,,796995900479,Westfield,Twin/Full 4 Leg Headboard Frame,Espresso,,,,,,,,$24.0,,Bed,Headboard Frame,Wood,,Twin,25.0,,54.0,63.5,,,,,,,,,,Wood,,,,,China,Small Parcel,1.0,30.0,3.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125HTW,TRUE,1125HTW,1125-340,1125-000,,,,,,,,,796995014725,Westfield,Westfield Post Headboard - Twin - Rails not included,Espresso,,,,,,,,$70.0,,Bed,Headboard,Wood,Post,Twin,21.0,52.0,41.0,63.5,,,"Inspired by classic cottage styling, Hillsdale Furniture's Westfield youth bed features a traditional curved headboard and lovely sculpted feet. Finished in a cozy espresso, this bed is a refreshing and cheerful addition to your child's bedroom.",Traditional curved headboard,Sculpted feet,Espresso finish,"Headboard is 52"" tall, and footboard is 30""",,,Wood,,,,,Vietnam,Small Parcel,2.0,18.0,3.0,34.0,40.0,13.0,5.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh1125htwr westfield dark twin headboard.jpg,,,hh1125htwr westfield dark twin headboard.jpg,,,,,,,,,
1125-340,TRUE,1125HTW,,,,,,,,,,,796995999145,Westfield,Westfield Headboard - Twin,Espresso,,,,,,,,$45.0,,Bed,Headboard,Wood,,Twin,13.0,52.0,41.0,,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,18.0,3.0,34.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-000,TRUE,1125HTW,,,,,,,,,,,796995999169,Westfield,Westfield Bed Post Kit - 2- Twin,Espresso,,,,,,,,$25.0,,Bed,Posts,Wood,,Twin,8.0,52.0,41.0,,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,13.0,5.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125HFR,TRUE,1125HFR,1125-490,1125-000,90047.0,,,,,,,,796995012257,Westfield,Westfield Post Headboard - Full - w/Rails,Espresso,,,,,,,,$124.0,,Bed,Headboard,Wood,Post,Full,50.0,52.0,56.0,63.5,,,"Inspired by classic cottage styling, Hillsdale Furniture's Westfield youth bed features a traditional curved headboard and lovely sculpted feet. Finished in a cozy espresso, this bed is a refreshing and cheerful addition to your child's bedroom.",Traditional curved headboard,Sculpted feet,Espresso finish,"Headboard is 52"" tall, and footboard is 30""",,,Wood,,,,,Vietnam/China,Oversized,3.0,22.0,3.0,34.0,56.0,13.0,5.0,13.0,48.0,30.0,3.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-490,TRUE,1125HFR,,,,,,,,,,,796995999152,Westfield,Westfield Headboard - Full,Espresso,,,,,,,,$75.0,,Bed,Headboard,Wood,,Full,17.0,52.0,56.0,,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,22.0,3.0,34.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-000,TRUE,1125HFR,,,,,,,,,,,796995999169,Westfield,Westfield Bed Post Kit - 2- Twin,Espresso,,,,,,,,$25.0,,Bed,Posts,Wood,,Full,8.0,52.0,56.0,,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,13.0,5.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90047.0,TRUE,1125HFR,,,,,,,,,,,796995900479,Westfield,Twin/Full 4 Leg Headboard Frame,Espresso,,,,,,,,$24.0,,Bed,Headboard Frame,Wood,,Full,25.0,,54.0,63.5,,,,,,,,,,Wood,,,,,China,Small Parcel,1.0,30.0,3.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125HF,TRUE,1125HF,1125-490,1125-000,,,,,,,,,796995014732,Westfield,Westfield Post Headboard - Full - Rails not included,Espresso,,,,,,,,$100.0,,Bed,Headboard,Wood,Post,Full,25.0,52.0,56.0,,,,"Inspired by classic cottage styling, Hillsdale Furniture's Westfield youth bed features a traditional curved headboard and lovely sculpted feet. Finished in a cozy espresso, this bed is a refreshing and cheerful addition to your child's bedroom.",Traditional curved headboard,Sculpted feet,Espresso finish,"Headboard is 52"" tall, and footboard is 30""",,,Wood,,,,,Vietnam,Oversized,2.0,22.0,3.0,34.0,56.0,13.0,5.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-490,TRUE,1125HF,,,,,,,,,,,796995999152,Westfield,Westfield Headboard - Full,Espresso,,,,,,,,$75.0,,Bed,Headboard,Wood,,Full,17.0,52.0,56.0,,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,22.0,3.0,34.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125-000,TRUE,1125HF,,,,,,,,,,,796995999169,Westfield,Westfield Bed Post Kit - 2 - Twin,Espresso,,,,,,,,$25.0,,Bed,Posts,Wood,,Full,8.0,52.0,56.0,,,,,,,,,,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354BTWPR,TRUE,1354BTWPR,1354-331,1354-131,90046.0,,,,,,,,79699596569,Westfield,Westfield Canopy Bed Set - Twin- w/Rails,White,,,,,,,,$156.0,,Bed,Bed Set,Metal,Canopy,Twin,48.0,48.0,39.0,79.0,,,"Perfect for a little girl's room, the adorable Westfield canopy bed boasts a charming arched design, sweet scrollwork, and a canopy option to create your daughter's dream bedroom.",Arched design,Sweet scrollwork,Canopy option,,,,Metal,,,,,Malaysia/China,Small Parcel,3.0,20.0,4.0,32.0,40.0,13.0,3.0,5.0,91.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,hh1354btwpr.jpg,,,,,,,,,,,,,,,,,,,hh1354btwpr.jpg,,,hh1354btwpr.jpg,,,,,,,,,
1354-331,TRUE,1354BTWPR,,,,,,,,,,,796995956971,Westfield,Westfield Metal Bed Set - Twin,White,,,,,,,,$74.0,,Bed,Bed Set,Metal,,Twin,15.0,48.0,39.0,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,20.0,4.0,32.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354-131,TRUE,1354BTWPR,,,,,,,,,,,796995956995,Westfield,Westfield Canopy Kit - Twin,White,,,,,,,,$42.0,,Bed,Canopy,Metal,,Twin,8.0,83.0,,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,13.0,3.0,5.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90046.0,TRUE,1354BTWPR,,,,,,,,,,,796995954885,Westfield,4 Leg Twin/Full Bed Frame,White,,,,,,,,$40.0,,Bed,Frame,Metal,,Twin,25.0,,54.0,76.0,,,,,,,,,,Metal,,,,,China,Small Parcel,1.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354BTWP,TRUE,1354BTWP,1354-331,1354-131,,,,,,,,,796995965911,Westfield,Westfield Canopy Bed Set - Twin - Rails not included,White,,,,,,,,$116.0,,Bed,Bed Set,Metal,Canopy,Twin,23.0,83.0,39.0,,,,"Perfect for a little girl's room, the adorable Westfield canopy bed boasts a charming arched design, sweet scrollwork, and a canopy option to create your daughter's dream bedroom.",Arched design,Sweet scrollwork,Canopy option,,,,Metal,,,,,Malaysia,Small Parcel,2.0,20.0,4.0,32.0,40.0,13.0,3.0,5.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,hh1354btwpr.jpg,,,hh1354btwpr.jpg,,,,,,,,,
1354-331,TRUE,1354BTWP,,,,,,,,,,,796995956971,Westfield,Westfield Metal Bed Set - Twin,White,,,,,,,,$74.0,,Bed,Bed Set,Metal,,Twin,15.0,48.0,39.0,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,20.0,4.0,32.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354-131,TRUE,1354BTWP,,,,,,,,,,,796995956995,Westfield,Westfield Canopy Kit - Twin,White,,,,,,,,$42.0,,Bed,Canopy,Metal,,Twin,8.0,83.0,,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,13.0,3.0,5.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354BFPR,TRUE,1354BFPR,1354-461,1354-261,90046.0,,,,,,,,796995965638,Westfield,Westfield Canopy Bed Set - Full - w/Rails,White,,,,,,,,$181.0,,Bed,Bed Set,Metal,Canopy,Full,52.0,83.0,54.5,76.0,,,"Perfect for a little girl's room, the adorable Westfield canopy bed boasts a charming arched design, sweet scrollwork, and a canopy option to create your daughter's dream bedroom.",Arched design,Sweet scrollwork,Canopy option,,,,Metal,,,,,Malaysia/China,Small Parcel,3.0,23.0,4.0,32.0,54.0,14.0,3.0,5.0,94.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,hh1354bfpr.jpg,,,,,,,,,,,,,,,,,,,hh1354bfpr.jpg,,,hh1354bfpr.jpg,,,,,,,,,
1354-461,TRUE,1354BFPR,,,,,,,,,,,796995956988,Westfield,Westfield Metal Bed Set - Full,White,,,,,,,,$93.0,,Bed,Bed Set,Metal,,Full,18.0,48.0,54.5,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,23.0,4.0,32.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354-261,TRUE,1354BFPR,,,,,,,,,,,796995957008,Westfield,Westfield Canopy Kit - Full,White,,,,,,,,$48.0,,Bed,Canopy,Metal,,Full,9.0,83.0,,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,14.0,3.0,5.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90046.0,TRUE,1354BFPR,,,,,,,,,,,796995954885,Westfield,4 Leg Twin/Full Bed Frame,White,,,,,,,,$40.0,,Bed,Frame,Metal,,Full,25.0,,54.0,76.0,,,,,,,,,,Metal,,,,,China,Small Parcel,1.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354BFP,TRUE,1354BFP,1354-461,1354-261,,,,,,,,,796995965928,Westfield,Westfield Canopy Bed Set - Full - Rails not included,White,,,,,,,,$141.0,,Bed,Bed Set,Metal,Canopy,Full,27.0,83.0,54.5,76.0,,,"Perfect for a little girl's room, the adorable Westfield canopy bed boasts a charming arched design, sweet scrollwork, and a canopy option to create your daughter's dream bedroom.",Arched design,Sweet scrollwork,Canopy option,,,,Metal,,,,,Malaysia,Small Parcel,2.0,23.0,4.0,32.0,54.0,14.0,3.0,5.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,hh1354bfpr.jpg,,,hh1354bfpr.jpg,,,,,,,,,
1354-461,TRUE,1354BFP,,,,,,,,,,,796995956988,Westfield,Westfield Metal Bed Set - Full,White,,,,,,,,$93.0,,Bed,Bed Set,Metal,,Full,18.0,48.0,54.5,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,23.0,4.0,32.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354-261,TRUE,1354BFP,,,,,,,,,,,796995957008,Westfield,Westfield Canopy Kit - Full,White,,,,,,,,$48.0,,Bed,Canopy,Metal,,Full,9.0,83.0,,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,14.0,3.0,5.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354BTWMR,TRUE,1354BTWMR,1354-331,90046.0,,,,,,,,,796995965874,Westfield,Westfield Metal Bed Set - Twin - w/Rails,White,,,,,,,,$114.0,,Bed,Bed Set,Metal,,Twin,40.0,48.0,54.0,76.5,,,"Perfect for a little girl's room, Hillsdale Furniture's adorable Westfield Metal Bed boasts a charming arched design, sweet scrollwork, and delicate round finials to create your daughter's dream bedroom. Finished in a pretty white, this bed is ideal with your current bedroom furnishings or to go along with our popular Westfield bedroom collection.",Arched design,Sweet scrollwork,Deliciate round finials,"Headboard is 48"" tall, and footboard is 29""",,,Metal,,,,,Malaysia/China,Small Parcel,2.0,20.0,4.0,32.0,40.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,hh1354btwmr.jpg,,,,,,,,,,,,,,,,,,,hh1354btwmr.jpg,,,hh1354btwmr.jpg,,,,,,,,,
1354-331,TRUE,1354BTWMR,,,,,,,,,,,796995956971,Westfield,Westfield Metal Bed Set - Twin - Rails not included,White,,,,,,,,$74.0,,Bed,Bed Set,Metal,,Twin,15.0,48.0,39.0,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,20.0,4.0,32.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90046.0,TRUE,1354BTWMR,,,,,,,,,,,796995954885,Westfield,4 Leg Twin/Full Bed Frame,White,,,,,,,,$40.0,,Bed,Frame,Metal,,Twin,25.0,,54.0,76.5,,,,,,,,,,Metal,,,,,China,Small Parcel,1.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354BFMR,TRUE,1354BFMR,1354-461,90046.0,,,,,,,,,796995965881,Westfield,Westfield Metal Bed Set - Full - w/Rails,White,,,,,,,,$133.0,,Bed,Bed Set,Metal,,Full,43.0,48.0,54.5,76.0,,,"Perfect for a little girl's room, Hillsdale Furniture's adorable Westfield Metal Bed boasts a charming arched design, sweet scrollwork, and delicate round finials to create your daughter's dream bedroom. Finished in a pretty white, this bed is ideal with your current bedroom furnishings or to go along with our popular Westfield bedroom collection.",Arched design,Sweet scrollwork,Delicate round finials,"Headboard is 48"" tall, and footboard is 29""",,,Metal,,,,,Malaysia/China,Small Parcel,2.0,23.0,4.0,32.0,54.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,hh1354bfmr.jpg,,,,,,,,,,,,,,,,,,,hh1354bfmr.jpg,,,hh1354bfmr.jpg,,,,,,,,,
1354-461,TRUE,1354BFMR,,,,,,,,,,,796995956988,Westfield,Westfield Metal Bed Set - Full - Rails not included,White,,,,,,,,$93.0,,Bed,Bed Set,Metal,,Full,18.0,48.0,54.5,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,23.0,4.0,32.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90046.0,TRUE,1354BFMR,,,,,,,,,,,796995954885,Westfield,4 Leg Twin/Full Bed Frame,White,,,,,,,,$40.0,,Bed,Frame,Metal,,Full,25.0,,54.0,76.5,,,,,,,,,,Metal,,,,,China,Small Parcel,1.0,30.0,4.0,8.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354HTWMR,TRUE,1354HTWMR,1354-377,90047.0,,,,,,,,,796995965898,Westfield,Westfield Metal Headboard - Twin - w/Rails,White,,,,,,,,$73.0,,Bed,Headboard,Metal,,Twin,33.0,48.0,54.0,63.5,,,"Perfect for a little girl's room, Hillsdale Furniture's adorable Westfield Metal Bed boasts a charming arched design, sweet scrollwork, and delicate round finials to create your daughter's dream bedroom. Finished in a pretty white, this bed is ideal with your current bedroom furnishings or to go along with our popular Westfield bedroom collection.",Arched design,Sweet scrollwork,Delicate round finials,"Headboard is 48"" tall, and footboard is 29""",,,Metal,,,,,Malaysia/China,Small Parcel,2.0,13.0,2.0,32.0,40.0,30.0,3.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354-377,TRUE,1354HTWMR,,,,,,,,,,,79699595821,Westfield,Westfield Metal Headboard - Twin - Rails not included,White,,,,,,,,$49.0,,Bed,Headboard,Metal,,Twin,8.0,48.0,39.0,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,13.0,2.0,32.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90047.0,TRUE,1354HTWMR,,,,,,,,,,,796995900479,Westfield,Twin/Full 4 Leg Headboard Frame,White,,,,,,,,$24.0,,Bed,Headboard Frame,Metal,,Twin,25.0,,54.0,63.5,,,,,,,,,,Metal,,,,,China,Small Parcel,1.0,30.0,3.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354HFMR,TRUE,1354HFMR,1354-477,90047.0,,,,,,,,,796995965904,Westfield,Westfield Metal Headboard - Full - w/Rails,White,,,,,,,,$90.0,,Bed,Headboard,Metal,,Full,37.0,48.0,54.5,63.5,,,"Perfect for a little girl's room, Hillsdale Furniture's adorable Westfield Metal Bed boasts a charming arched design, sweet scrollwork, and delicate round finials to create your daughter's dream bedroom. Finished in a pretty white, this bed is ideal with your current bedroom furnishings or to go along with our popular Westfield bedroom collection.",Arched design,Sweet scrollwork,Delicate round finials,"Headboard is 48"" tall, and footboard is 29""",,,Metal,,,,,Malaysia/China,Small Parcel,2.0,17.0,2.0,32.0,54.0,30.0,3.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354-477,TRUE,1354HFMR,,,,,,,,,,,79699595821,Westfield,Westfield Metal Headboard - Full - Rails not included,White,,,,,,,,$66.0,,Bed,Headboard,Metal,,Full,12.0,48.0,54.5,,,,,,,,,,,Metal,,,,,Malaysia,Small Parcel,1.0,17.0,2.0,32.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90047.0,TRUE,1354HFMR,,,,,,,,,,,796995900479,Westfield,Twin/Full 4 Leg Headboard Frame,White,,,,,,,,$24.0,,Bed,Headboard Frame,Metal,,Full,25.0,,54.0,63.5,,,,,,,,,,Metal,,,,,China,Small Parcel,1.0,30.0,3.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
